Sample no#,Specimen no#,Flea species,flea subspecies/morphotype,total fleas,Females,Males,Slide,cox1,Fig5 (multigene),Fig6 (clades),Fig7 (haplotype),cox1 haplotype,Note,Clade 1,Cluster,ID,cox1,cox2,Histone H3,EF-1a,Continent,Country,State/Province/Island,Town/Region,Latitude,Longitude,Host scientific name,Host,Collection date,Collector,Notes
AL966,AL966-2,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h10,included,,,CTENO522-18,MG586643,,,,Asia,Iran,Mazandaran province,Tonekabon,36.8155,50.8716,Canis lupus familiaris,dog,20-January-2016,Ali Halajian,
AL967,AL967-1,Ctenocephalides canis,,1,0,1,1,1,0,1,1,h81,included,,,CTENO523-18,MG586644,,,,Asia,Iran,Mazandaran province,Tonekabon,36.8155,50.8716,Canis lupus familiaris,dog,20-January-2016,Ali Halajian,
AL969,AL969-1,Ctenocephalides connatus,,1,1,0,1,1,0,1,1,h75,included,,,CTENO524-18,MG586645,,,,Africa,South Africa,North West province,"Lombard Nature Reserve, Bloemhof",-27.6058,25.4615,Xerus inauris,Cape Ground Squirrel,25-May-2014,Ali Halajian,
AL970,AL970-1,Ctenocephalides connatus,,1,0,1,1,1,1,1,1,h82,included,,,CTENO525-18,MG586646,MG586732,MG586781,MG586757,Africa,South Africa,Free State province,Bultfontein,-28.2750,26.1478,Galerella sanguinea,slender mongoose,13-July-2013,Ali Halajian,
AL971,AL971-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO526-18,MG586647,,,,South America,Argentina,Santa Fe province,Esperanza,-31.4490,-60.9304,Canis lupus familiaris,shelter dog,01-February-2016,Pablo M. Beldomenico,
AL972,AL972-1,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO527-18,MG586648,,,,South America,Argentina,Santa Fe province,Esperanza,-31.4490,-60.9304,Canis lupus familiaris,shelter dog,01-February-2016,Pablo M. Beldomenico,
AL972,AL972-2,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO528-18,MG586649,,,,South America,Argentina,Santa Fe province,Esperanza,-31.4490,-60.9304,Canis lupus familiaris,shelter dog,01-February-2016,Pablo M. Beldomenico,
AL973,AL973-1,Ctenocephalides felis,felis,1,0,1,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO529-18,MG586650,,,,South America,Argentina,Santa Fe province,Esperanza,-31.4490,-60.9304,Canis lupus familiaris,shelter dog,01-February-2016,Pablo M. Beldomenico,
AL973,AL973-2,Ctenocephalides felis,felis,1,1,0,1,1,0,1,1,h1,included,Clade 1,Temperate,CTENO530-18,MG586651,,,,South America,Argentina,Santa Fe province,Esperanza,-31.4490,-60.9304,Canis lupus familiaris,shelter dog,01-February-2016,Pablo M. Beldomenico,
AL974,AL974-1,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h10,included,,,CTENO531-18,MG586652,,,,South America,Argentina,Santa Fe province,Esperanza,-31.4490,-60.9304,Canis lupus familiaris,shelter dog,01-February-2016,Pablo M. Beldomenico,
AL974,AL974-2,Ctenocephalides canis,,1,1,0,1,1,0,1,1,h83,included,,,CTENO532-18,MG586653,,,,South America,Argentina,Santa Fe province,Esperanza,-31.4490,-60.9304,Canis lupus familiaris,shelter dog,01-February-2016,Pablo M. Beldomenico,
CJ001605,CJ001605-1,Ctenocephalides felis,unknown,1,unknown,unknown,0,1,0,1,1,h84,included,Clade 7,African,CTENO533-18,MG586654,,,,Africa,Ivory Coast,Ind�ni�-Djuablin Region,Bossematie,6.6192,-3.4506,Canis lupus familiaris,dog,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
CJ001605,CJ001605-2,Ctenocephalides felis,unknown,1,unknown,unknown,0,1,0,1,1,h85,included,Clade 2,Temperate,CTENO534-18,MG586655,,,,Africa,Ivory Coast,Ind�ni�-Djuablin Region,Bossematie,6.6192,-3.4506,Canis lupus familiaris,dog,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
CJ001606,CJ001606-1,Ctenocephalides felis,unknown,1,unknown,unknown,0,1,0,1,1,h85,included,Clade 2,Temperate,CTENO535-18,MG586656,,,,Africa,Ivory Coast,Ind�ni�-Djuablin Region,Bossematie,6.6192,-3.4506,Canis lupus familiaris,dog,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
CJ001606,CJ001606-2,Ctenocephalides felis,unknown,1,unknown,unknown,0,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO536-18,MG586657,,,,Africa,Ivory Coast,Ind�ni�-Djuablin Region,Bossematie,6.6192,-3.4506,Canis lupus familiaris,dog,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
CJ001606,CJ001606-3,Ctenocephalides felis,unknown,1,unknown,unknown,0,1,0,1,1,h86,included,Clade 5,Tropical II,CTENO537-18,MG586658,,,,Africa,Ivory Coast,Ind�ni�-Djuablin Region,Bossematie,6.6192,-3.4506,Canis lupus familiaris,dog,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
CJ001606,CJ001606-4,Ctenocephalides felis,unknown,1,unknown,unknown,0,1,0,1,1,h84,included,Clade 7,African,CTENO538-18,MG586659,,,,Africa,Ivory Coast,Ind�ni�-Djuablin Region,Bossematie,6.6192,-3.4506,Canis lupus familiaris,dog,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
CJ001606,CJ001606-5,Ctenocephalides felis,unknown,1,unknown,unknown,0,1,0,1,1,h17,included,Clade 6,Tropical II,CTENO539-18,MG586660,,,,Africa,Ivory Coast,Ind�ni�-Djuablin Region,Bossematie,6.6192,-3.4506,Canis lupus familiaris,dog,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
CJ002018,CJ002018-1,Ctenocephalides canis,,1,unknown,unknown,0,1,0,1,1,h87,included,,,CTENO540-18,MG586661,,,,Europe,Romania,Tulcea County,Chilia Veche,45.4189,29.2938,Canis lupus familiaris,owned dog,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
CJ002018,CJ002018-2,Ctenocephalides canis,,1,unknown,unknown,0,1,0,1,1,h88,included,,,CTENO541-18,MG586662,,,,Europe,Romania,Tulcea County,Chilia Veche,45.4189,29.2938,Canis lupus familiaris,owned dog,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
CJ002030,CJ002030-1,Ctenocephalides felis,felis,1,unknown,unknown,0,1,0,1,1,h9,included,Clade 2,Temperate,CTENO542-18,MG586663,,,,Europe,Romania,Tulcea County,Chilia Veche,45.4189,29.2938,Felis catus,owned cat,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
CJ002030,CJ002030-2,Ctenocephalides felis,felis,1,unknown,unknown,0,1,0,1,1,h9,included,Clade 2,Temperate,CTENO543-18,MG586664,,,,Europe,Romania,Tulcea County,Chilia Veche,45.4189,29.2938,Felis catus,owned cat,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
CJ002063,CJ002063-1,Ctenocephalides felis,felis,1,unknown,unknown,0,1,0,1,1,h9,included,Clade 2,Temperate,CTENO544-18,MG586665,,,,Europe,Romania,Tulcea County,Chilia Veche,45.4189,29.2938,Felis catus,owned cat,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
CJ002063,CJ002063-2,Ctenocephalides felis,felis,1,unknown,unknown,0,1,0,1,1,h9,included,Clade 2,Temperate,CTENO545-18,MG586666,,,,Europe,Romania,Tulcea County,Chilia Veche,45.4189,29.2938,Felis catus,owned cat,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
CJ002063,CJ002063-3,Ctenocephalides felis,felis,1,unknown,unknown,0,1,0,1,1,h9,included,Clade 2,Temperate,CTENO546-18,MG586667,,,,Europe,Romania,Tulcea County,Chilia Veche,45.4189,29.2938,Felis catus,owned cat,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
CJ002063,CJ002063-4,Ctenocephalides felis,felis,1,unknown,unknown,0,1,0,1,1,h9,included,Clade 2,Temperate,CTENO547-18,MG586668,,,,Europe,Romania,Tulcea County,Chilia Veche,45.4189,29.2938,Felis catus,owned cat,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
CJ002075,CJ002075-1,Ctenocephalides canis,,1,unknown,unknown,0,1,0,1,1,h10,included,,,CTENO548-18,MG586669,,,,Europe,Romania,Tulcea County,Chilia Veche,45.4189,29.2938,Canis lupus familiaris,owned dog,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
CJ002075,CJ002075-2,Ctenocephalides canis,,1,unknown,unknown,0,1,0,1,1,h89,included,,,CTENO549-18,MG586670,,,,Europe,Romania,Tulcea County,Chilia Veche,45.4189,29.2938,Canis lupus familiaris,owned dog,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
CJ002075,CJ002075-3,Ctenocephalides canis,,1,unknown,unknown,0,1,0,1,1,h10,included,,,CTENO550-18,MG586671,,,,Europe,Romania,Tulcea County,Chilia Veche,45.4189,29.2938,Canis lupus familiaris,owned dog,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
CJ002075,CJ002075-4,Ctenocephalides canis,,1,unknown,unknown,0,1,0,1,1,h90,included,,,CTENO551-18,MG586672,,,,Europe,Romania,Tulcea County,Chilia Veche,45.4189,29.2938,Canis lupus familiaris,owned dog,01-April-2013,Andrei Mihalca,"No voucher, DNA sequence supplied only "
AL021,unprocessed ,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,Fiji,Nadi,Martintar,-17.7780,177.4319,Canis lupus familiaris,stray dog,29-November-2012,Graeme Brown,
AL022,unprocessed ,Ctenocephalides felis,felis,3,3,0,0,0,0,0,0,,,,,,,,,,Oceania,Fiji,Nadi,Martintar,-17.7780,177.4319,Canis lupus familiaris,stray dog,29-November-2012,Graeme Brown,
AL023,unprocessed ,Ctenocephalides felis,felis,5,4,1,0,0,0,0,0,,,,,,,,,,Oceania,Fiji,Nadi,Martintar,-17.7780,177.4319,Canis lupus familiaris,stray dog,29-November-2012,Graeme Brown,
AL024,unprocessed ,Ctenocephalides felis,felis,5,2,3,0,0,0,0,0,,,,,,,,,,Oceania,Fiji,Nadi,Martintar,-17.7780,177.4319,Canis lupus familiaris,stray dog,29-November-2012,Graeme Brown,
AL025,unprocessed ,Ctenocephalides felis,felis,5,3,2,0,0,0,0,0,,,,,,,,,,Oceania,Fiji,Nadi,Martintar,-17.7780,177.4319,Canis lupus familiaris,stray dog,29-November-2012,Graeme Brown,
AL026,unprocessed ,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,Fiji,Nadi,Martintar,-17.7780,177.4319,Canis lupus familiaris,stray dog,29-November-2012,Graeme Brown,
AL027,unprocessed ,Ctenocephalides felis,felis,4,2,2,0,0,0,0,0,,,,,,,,,,Oceania,Fiji,Nadi,Martintar,-17.7780,177.4319,Canis lupus familiaris,stray dog,29-November-2012,Graeme Brown,
AL028,unprocessed ,Ctenocephalides felis,felis,7,3,4,0,0,0,0,0,,,,,,,,,,Oceania,Fiji,Nadi,Martintar,-17.7780,177.4319,Canis lupus familiaris,stray dog,29-November-2012,Graeme Brown,
AL029,unprocessed ,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,Fiji,Nadi,Martintar,-17.7780,177.4319,Canis lupus familiaris,stray dog,01-December-2012,Graeme Brown,
AL039,unprocessed ,Ctenocephalides felis,felis,1,0,1,0,0,0,0,0,,,,,,,,,,Oceania,Fiji,Nadi,Martintar,-17.7780,177.4319,Canis lupus familiaris,stray dog,29-November-2012,Graeme Brown,
AL041,unprocessed ,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,Fiji,Nadi,Martintar,-17.7780,177.4319,Canis lupus familiaris,stray dog,29-November-2012,Graeme Brown,
AL042,unprocessed ,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,Fiji,Nadi,Martintar,-17.7780,177.4319,Canis lupus familiaris,stray dog,29-November-2012,Graeme Brown,
AL053,unprocessed ,Ctenocephalides felis,felis,1,0,1,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Felis catus,stray cat,04-March-2013,Derek Spielman,
AL054,unprocessed ,Ctenocephalides orientis,,2,1,1,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL055,unprocessed ,Ctenocephalides felis,felis,2,2,0,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL056,unprocessed ,Ctenocephalides felis,felis,2,1,1,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL056,unprocessed ,Ctenocephalides orientis,,1,1,0,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL057,unprocessed ,Ctenocephalides felis,felis,2,2,0,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,05-March-2013,Derek Spielman,
AL058,unprocessed ,Ctenocephalides orientis,,4,3,1,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL059,unprocessed ,Ctenocephalides felis,felis,1,0,1,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL060,unprocessed ,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL061,unprocessed ,Ctenocephalides felis,felis,1,0,1,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL061,unprocessed ,Ctenocephalides orientis,,2,2,0,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL062,unprocessed ,Ctenocephalides orientis,,2,2,0,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL063,AL063-2,Ctenocephalides orientis,,1,0,1,1,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL063,unprocessed ,Ctenocephalides orientis,,27,19,8,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL064,unprocessed ,Ctenocephalides orientis,,1,1,0,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL065,unprocessed ,Ctenocephalides orientis,,2,2,0,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL066,unprocessed ,Ctenocephalides orientis,,1,0,1,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL067,unprocessed ,Ctenocephalides orientis,,1,0,1,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL067,unprocessed ,Ctenocephalides felis,felis,37,28,9,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL068,unprocessed ,Ctenocephalides orientis,,2,2,0,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL069,AL069-2,Ctenocephalides orientis,,1,1,0,1,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,"Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL069,unprocessed ,Ctenocephalides orientis,,6,3,3,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL069,unprocessed ,Ctenocephalides felis,felis,1,0,1,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL070,unprocessed ,Ctenocephalides orientis,,2,2,0,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL071,unprocessed ,Ctenocephalides orientis,,1,1,0,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL072,unprocessed ,Ctenocephalides orientis,,1,1,0,0,0,0,0,0,,,,,,,,,,Asia,Thailand,Chiang Mai provence,Mae Taeng,19.2165,98.8614,Canis lupus familiaris,stray dog,04-March-2013,Derek Spielman,
AL078,unprocessed ,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,New South Wales,Glenorie,-33.5950,150.9710,Felis catus,owned cat,25-March-2013,Christie Foster,
AL079,unprocessed ,Ctenocephalides felis,felis,10,10,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,New South Wales,Sydney,-33.8945,151.1637,Canis lupus familiaris,owned dog,08-April-2013,Anne Fawcett,
AL080,unprocessed ,Ctenocephalides felis,felis,8,5,3,0,0,0,0,0,,,,,,,,,,Oceania,Australia,New South Wales,Glenorie,-33.5950,150.9710,Felis catus,owned cat,12-April-2013,Christie Foster,
AL081,unprocessed ,Ctenocephalides felis,felis,1,1,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,New South Wales,Sydney,-33.8945,151.1637,Canis lupus familiaris,owned dog,12-April-2013,Claire Wade,
AL083,unprocessed ,Ctenocephalides felis,unknown,15,13,2,0,0,0,0,0,,,,,,,,,,Africa,Seychelles,Mah�,Victoria,-4.6191,55.4513,Canis lupus familiaris,dog,01-April-2013,Martha Morin,
AL085,AL085-1,Ctenocephalides felis,felis,1,1,0,0,1,0,0,0,,excluded (overrepresentation),,,,KF684896.1,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,"No voucher - specimen crushed for DNA extraction; Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL085,unprocessed ,Ctenocephalides felis,felis,3,0,3,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,Specimens disposed - samples attached to 'sticky trap paper'
AL086,unprocessed ,Ctenocephalides felis,felis,10,4,6,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,Specimens disposed - samples attached to 'sticky trap paper'
AL087,unprocessed ,Ctenocephalides felis,felis,4,4,0,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,Specimens disposed - samples attached to 'sticky trap paper'
AL088,unprocessed ,Ctenocephalides felis,felis,23,8,15,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,Specimens disposed - samples attached to 'sticky trap paper'
AL089,AL089-1,Ctenocephalides felis,felis,1,1,0,0,1,0,0,0,,excluded (overrepresentation),,,,KF684900.1,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,"No voucher - specimen crushed for DNA extraction; Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL089,unprocessed ,Ctenocephalides felis,felis,9,5,4,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,Specimens disposed - samples attached to 'sticky trap paper'
AL090,AL090-1,Ctenocephalides felis,felis,1,1,0,0,1,0,0,0,,excluded (overrepresentation),,,,KF684901.1,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,"No voucher - specimen crushed for DNA extraction; Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL090,unprocessed ,Ctenocephalides felis,felis,2,1,1,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,Specimens disposed - samples attached to 'sticky trap paper'
AL091,AL091-1,Ctenocephalides felis,felis,1,1,0,0,1,0,0,0,,excluded (overrepresentation),,,,KF684902.1,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,"No voucher - specimen crushed for DNA extraction; Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL091,unprocessed ,Ctenocephalides felis,felis,10,8,2,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,Specimens disposed - samples attached to 'sticky trap paper'
AL092,AL092-1,Ctenocephalides felis,felis,1,1,0,0,1,0,0,0,,excluded (overrepresentation),,,,KF684903.1,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,"No voucher - specimen crushed for DNA extraction; Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL092,unprocessed ,Ctenocephalides felis,felis,37,15,22,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,Specimens disposed - samples attached to 'sticky trap paper'
AL093,AL093-1,Ctenocephalides felis,felis,1,1,0,0,1,0,0,0,,excluded (overrepresentation),,,,KF684904.1,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,"No voucher - specimen crushed for DNA extraction; Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL093,unprocessed ,Ctenocephalides felis,felis,2,1,1,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,Specimens disposed - samples attached to 'sticky trap paper'
AL094,AL094-1,Ctenocephalides felis,felis,1,1,0,0,1,0,0,0,,excluded (overrepresentation),,,,KF684905.1,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,"No voucher - specimen crushed for DNA extraction; Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL094,unprocessed ,Ctenocephalides felis,felis,136,56,80,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,Specimens disposed - samples attached to 'sticky trap paper'
AL095,AL095-1,Ctenocephalides felis,felis,1,1,0,0,1,0,0,0,,excluded (overrepresentation),,,,KF684906.1,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,"No voucher - specimen crushed for DNA extraction; Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL095,unprocessed ,Ctenocephalides felis,felis,4,3,1,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,Specimens disposed - samples attached to 'sticky trap paper'
AL096,AL096-1,Ctenocephalides felis,felis,1,1,0,0,1,0,0,0,,excluded (overrepresentation),,,,KF684907.1,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,"No voucher - specimen crushed for DNA extraction; Lawrence, A.L., Brown, G.K., Peters, B., Spielman, D.S., Morin-Adeline, V., _Lapeta, J., 2014. High phylogenetic diversity of the cat flea (Ctenocephalides felis) at two mitochondrial DNA markers. Med. Vet. Entomol. 28, 330-336."
AL096,unprocessed ,Ctenocephalides felis,felis,9,7,2,0,0,0,0,0,,,,,,,,,,Oceania,Australia,Queensland,Cairns,-16.9351,145.7452,Flea light traps,Households with cats and dogs,01-March-2013,Bryce Peters,Specimens disposed - samples attached to 'sticky trap paper'
